,userid,content,data,tags
0,gs25_official,"gs25_official인증됨명절 선물이 고민인 당!신!에게😎GS25가 설 선물 맛집인 사실🎁당장 알려드림(엄.근.진.)📍CJ)햇반190G[36입] 32.900원32.900원&무료배송(20개 이상 구매 시)🔥📍정관장)에너지/아미노활기력샷(10입)35,000원 (1+1💥)📍이모카세)도시락김[12봉]12,000원 (1+1✨)📍조니워커 블랙700ml52,000원&본품1병+하이볼글라스1+코스터1set🎊착한 가격에 구성 무엇?🤷‍🤷‍나를 위한 선물로도 딱! (소곤소곤)* 지나친 음주는 뇌졸중, 기억력 손상이나 치매를 유발합니다.임신 중 음주는 기형아 출생 위험을 높입니다.#GS25 #재미상점 #재미있는GS25 #재미상점GS25 #우리동네선물가게 #편의점 #편의점인기템 #GS25신상 #우리동네GS #햇반 #정관장 #이모카세 #도시락김 #조니워커블랙 #설 #명절 #명절선물9분",2025-01-21,"['#GS25', '#재미상점', '#재미있는GS25', '#재미상점GS25', '#우리동네선물가게', '#편의점', '#편의점인기템', '#GS25신상', '#우리동네GS', '#햇반', '#정관장', '#이모카세', '#도시락김', '#조니워커블랙', '#설', '#명절', '#명절선물9분']"
1,gs25_official,"gs25_official인증됨이것 뭐예요..? 젤리 러버들 심쿵하는💗껍질째 먹는 젤리 시리즈의 귀환🔥더 쫄깃 달콤하게 돌아왔다! NEW 껍질째 먹는 시리즈🍭일본 국민 캔디 ‘세이카(Seika)’ 4종 사/전/예/약취향 저격 맛만 있는 거 시롸..?! 젤리 러버들은 우리동네GS앱에서 먼저 만나보기💙(속닥속닥... 품절 대란 전에 GET ㄱㄱ) 📆 1.21(화) 오전 11시 사전예약 START🍬껍질째 먹는 복숭아모찌(8입) 13,900원🍬껍질째 먹는 초코모찌(8입) 13,900원🍬껍질째 먹는 고구마아메(10입) 24,900원🍬껍질째 먹는 본탄아메(10입) 19,900원*각 500개 한정 판매 상품으로 조기 종료될 수 있습니다.*제주는 사전예약 미운영 됩니다. #GS25 #재미상점 #재미있는GS25 #재미상점GS25 #편의점 #편의점신상템 #편의점인기템 #GS25신상 #우리동네GS #세이카 #Seika #껍질째먹는젤리 #고구마아메 #본탄아메 #복숭아모찌 #초코모찌1시간",2025-01-21,"['#GS25', '#재미상점', '#재미있는GS25', '#재미상점GS25', '#편의점', '#편의점신상템', '#편의점인기템', '#GS25신상', '#우리동네GS', '#세이카', '#Seika', '#껍질째먹는젤리', '#고구마아메', '#본탄아메', '#복숭아모찌', '#초코모찌1시간']"
2,gs25_official,"gs25_official인증됨“당신의 새로운 도전을 응원합니다”It’s PRIME Time! D-2💥ㄴGS25 X PRIME 매장 입고 임박!WHO MADE THIS!🔥유튜버 로건폴 (2360만)과 KSI (2460만)가 론칭한 힙한 음료!미국 품절대란템을 집 앞 GS25에서?!날 설레게 해,,(๑•̀ㅂ•́)و✧두근두근 D-2😮화제의 그 스포츠 드링크를GS25에서 만나봐💙#GS25 #재미상점 #재미있는GS25 #재미상점GS25 #GS25프라임 #프라임하이드레이션 #프라임스포츠드링크#편의점 #편의점신상템 #편의점인기템 #GS25신상 #우리동네GS #프라임 #로건폴 #PRIME #KSI #우리동네GS #프라임이온음료 #스포츠음료 #이온음료17시간",2025-01-20,"['#GS25', '#재미상점', '#재미있는GS25', '#재미상점GS25', '#GS25프라임', '#프라임하이드레이션', '#프라임스포츠드링크', '#편의점', '#편의점신상템', '#편의점인기템', '#GS25신상', '#우리동네GS', '#프라임', '#로건폴', '#PRIME', '#KSI', '#우리동네GS', '#프라임이온음료', '#스포츠음료', '#이온음료17시간']"
3,gs25_official,"gs25_official인증됨커피 한 잔의 여유를 아는Chill한 당.신.🤎 커피러버들 무조건 pick (づ￣ 3￣)づ 늦은 밤 커피 생각이 난다면?디카페인 pick🔥다이어트 중 달달~한 게 땡길땐?저당 바닐라라떼 pick.✨ ☕유어스)디카페인아메리카노300ML 2,000원☕유어스)저당바닐라라떼300ML 2,000원 가까운 GS25에서 당장 만나봐💙 [#GS25 히든이벤트_커피 러버들 모여라]유어스 커피 2종 中 기대되는 제품을 댓글로 남겨주세요!추첨을 통해 선물을 드려요 🎁 🔹발표 일정: 2/14(화) 예정🔹당첨 인원: 50명※ 1월 히든이벤트에 해당되는 전체 당첨 인원입니다. 🎁이벤트 경품GS25 모바일상품권 5천원권 (50명) #GS25 #재미상점 #재미있는GS25 #재미상점GS25 #편의점 #편의점신상템 #편의점인기템 #GS25신상 #우리동네GS #유어스 #디카페인아메리카노 #저당바닐라라떼17시간",2025-01-20,"['#GS25', '#GS25', '#재미상점', '#재미있는GS25', '#재미상점GS25', '#편의점', '#편의점신상템', '#편의점인기템', '#GS25신상', '#우리동네GS', '#유어스', '#디카페인아메리카노', '#저당바닐라라떼17시간']"
4,gs25_official,gs25_official인증됨설 연휴 택배가 필요할 땐? GS25💙반값택배 진.짜 365일 연중무휴!설 연휴에도 저렴하게😮받고 싶은 설 명절 선물 1위! = GS25 ‘편.카’💳(속닥속닥 이젠 택배도 ‘편.카’로 결제 가능이래~)설 연휴에도 GS25에서 선물 구매하고연중무휴 반값 택배로 손쉽게 보내보자💙📆국내/국제택배는 잠깐 STOP🚚전국(제주/도서제외) 1.24(금) 전국 접수 마감&1.31(금) 정상 운영!🚚제주/도서 지역1.23(목) 접수 마감&1.31(금) 정상 운영!#GS25 #재미상점 #재미있는GS25 #재미상점GS25 #편의점 #편의점신상템 #편의점인기템 #GS25신상 #우리동네GS #설 #명절 #택배 #명절선물 #설선물 #편의점택배 #반값택배 #기프트카드 #편카18시간,2025-01-20,"['#GS25', '#재미상점', '#재미있는GS25', '#재미상점GS25', '#편의점', '#편의점신상템', '#편의점인기템', '#GS25신상', '#우리동네GS', '#설', '#명절', '#택배', '#명절선물', '#설선물', '#편의점택배', '#반값택배', '#기프트카드', '#편카18시간']"
5,gs25_official,"gs25_official인증됨1월 설레는 맥스티벌 두등장(づ￣ 3￣)づ요거요거 완전 내 취향 맥주들 아니얏..?! GS25에서 한 달간 진행하는 맥스티벌🍻✔️ 엑스파니아캔 500ml*6캔 5,940원✔️ 스텔라캔 500ml*6캔 13,000원✔️ 기네스흑맥주캔 440ml*4캔 10,000원✔️ 크러시캔 470ml*8캔 15,000원 등이 외에도 다양한 맥주가 준비되어 있대 +_+ 자세한 내용은 카드뉴스로 ㄱㄱㄱ💕💙행사 기간: ~1/31(금) * 지나친 음주는 뇌졸중, 기억력 손상이나 치매를 유발합니다.임신 중 음주는 기형아 출생 위험을 높입니다. #GS25 #재미상점 #재미있는GS25 #재미상점GS25 #편의점 #편의점인기템 #GS25신상 #우리동네GS #맥스티벌 #수입맥주19시간",2025-01-20,"['#GS25', '#재미상점', '#재미있는GS25', '#재미상점GS25', '#편의점', '#편의점인기템', '#GS25신상', '#우리동네GS', '#맥스티벌', '#수입맥주19시간']"
6,gs25_official,"jfi1114인증됨#광고 #막앤스키두둥! 버번 위스키 짐빔과 지평이 만나 막앤스키 출시!내가 그렇게 #막스키 만들어서 때렸는데 이제는 그럴 필요가 없음! 정말 볼때마다 감동스럽다는😍지평 누룩과 위스키 풍미가 장난이 아님!👍#GS25 #막걸리 #위스키#제이파이 #한잔말아bar〰️막앤스키는 전국의 GS25에서 구매할 수 있습니다〰️*지나친 음주는 뇌졸중, 기억력 손상이나 치매를 유발합니다. 임신중 음주는 기형아 출생 위험을 높입니다.20시간",2025-01-20,"['#광고', '#막앤스키두둥!', '#막스키', '#GS25', '#막걸리', '#위스키', '#제이파이', '#한잔말아bar〰️막앤스키는']"
7,gs25_official,"gs25_official인증됨Mr.백 : ??씨 잠깐 내려와봐유...!💢IGIN 애플토닉 이거 요물이네 요물! 쩝쩝박사의 대가, 백종원 대표와그의 베스트 술친구의 역/대/급 콜라보♡ 충남 예산 지니스램프에서 명인들의감사로 만들어진 IGIN 애플토닉🍎🍏ㄴ아직 안 마셨다구? 말이가 안되세여...😲 🍑 생자두의 과육향이 넘치는 새콤토닉🍉 시원달콤한 수박바 맛나는 달콤토닉 IGIN 애플토닉 많관부~! ( •̀ ω •́ )✧ *지나친 음주는 뇌졸중, 기억력 손상이나 치매를 유발합니다.임신 중 음주는 기형아 출생 위험을 높입니다. #GS25 #재미상점 #재미상점GS25 #재미있는GS25 #지니스램프 #아이긴 #아이긴애플토닉 #아이긴스마일파티 #아이긴파티 #wheresmilesbegin #IGIN #appletonic #달콤토닉 #새콤토닉 #jinislamp21시간",2025-01-20,"['#GS25', '#재미상점', '#재미상점GS25', '#재미있는GS25', '#지니스램프', '#아이긴', '#아이긴애플토닉', '#아이긴스마일파티', '#아이긴파티', '#wheresmilesbegin', '#IGIN', '#appletonic', '#달콤토닉', '#새콤토닉', '#jinislamp21시간']"
8,gs25_official,"gs25_official인증됨✨화제의 디저트! GS25 단독 출시!🧱벽돌 모양 초콜릿 케이크🍫🧱쫀득한 초코 브라우니 위에더 쫀득한 마시멜로 초콜릿을 얹어차갑게 먹으면 꾸덕~한 식감을!따뜻하게 먹으면 부드러운 초코의 풍미를!1/22(수) GS25에서 만나보세용!🤎 🍫벽돌 모양 초콜릿 케이크 4,300원 #GS25 #재미상점 #재미상점GS25 #재미있는GS25 #편의점 #편의점신상템 #편의점인기템 #GS25신상 #우리동네GS #편의점빵 #편의점디저트 #GS25빵 #GS25디저트 #벽돌케이크 #벽돌모양초콜릿케이크1일",2025-01-20,"['#GS25', '#재미상점', '#재미상점GS25', '#재미있는GS25', '#편의점', '#편의점신상템', '#편의점인기템', '#GS25신상', '#우리동네GS', '#편의점빵', '#편의점디저트', '#GS25빵', '#GS25디저트', '#벽돌케이크', '#벽돌모양초콜릿케이크1일']"
9,gs25_official,"gs25_official인증됨수산물러버는 조용히 손을 들어주세요🙋‍🙋쫄깃 통통 식감 예술 수산물만 모았다!😮 문어와 소라 조화 말모 말모~b(￣▽￣)d이젠 혼자도 수산물 먹기 가능하다구😋 🐙바로먹는데친문어120G(냉장) 6,900원🐚바로먹는데친문어소라120G(냉장) 6,900원 간편 먹템 찾을 땐?GS25로 ㄱㄱ💙 [#GS25 히든이벤트_문어야 소라해]문어와 소라에 대한 주접 댓글을 남겨주세요!추첨을 통해 선물을 드려요 🎁 🔹발표 일정: 2/14(화) 예정🔹당첨 인원: 50명※ 1월 히든이벤트에 해당되는 전체 당첨 인원입니다. 🎁이벤트 경품GS25 모바일상품권 5천원권 (50명) #GS25 #재미상점 #재미있는GS25 #재미상점GS25 #편의점 #편의점신상템 #편의점인기템 #GS25신상 #우리동네GS #수산물 #문어 #소라 #바로먹는데친문어 #바로먹는데친문어소라 #이벤트1일",2025-01-20,"['#GS25', '#GS25', '#재미상점', '#재미있는GS25', '#재미상점GS25', '#편의점', '#편의점신상템', '#편의점인기템', '#GS25신상', '#우리동네GS', '#수산물', '#문어', '#소라', '#바로먹는데친문어', '#바로먹는데친문어소라', '#이벤트1일']"
